學程,開課系所,科目代碼,科目名稱,學分
大數據與資料科學學程,資管系,5302202,資料庫管理,3
大數據經濟分析學分學程,資管所,5305226,多變量資料分析,3
應用英外語學程,財金系,5152021,統計學（二）,3
管理經濟學程,經濟學系,5101002,經濟學原理（二）,3
功能性基因體學程,經濟學系,5103312,計量經濟學（二）,3
資通安全學程,財金所,5155174,財務資料分析,3
「戲劇‧創意‧想像」學分學程,經濟學系,5101070,R語言應用與分析方法,3
軟體工程學程,資管所,5306223,大數據的分析與應用,3
人工智慧暨醫療管理與法律學分學程,資管所,5307134,機器學習,3
數理經濟學程,資工所,4105931,機器學習,3
國際政治經濟學程,勞工系,3202037,統計學,3
大數據與資料科學學程,經濟學系,5101002,經濟學原理（二）,3
大數據經濟分析學分學程,經濟學系,5102302,統計學（二）,3
應用英外語學程,經濟學系,5103312,計量經濟學（二）,3
管理經濟學程,經濟學系,5103920,統計軟體應用,3
功能性基因體學程,經濟學系,5103921,數據科學專題,3
資通安全學程,經濟學系,5101070,R語言應用與分析方法,3
「戲劇‧創意‧想像」學分學程,資工系,4104061,資料庫系統,3
大數據與資料科學學程,語言中心,1903208,進階英文閱讀技巧（二）,3
大數據經濟分析學分學程,語言中心,1903102,進階英文學術聽力（二）,3
應用英外語學程,語言中心,1903414,進階英文學術溝通（二）,3
管理經濟學程,語言中心,1903424,進階英文商務溝通（二）,3
功能性基因體學程,語言中心,1902118,中階學術英文聽說整合（二）,2
資通安全學程,語言中心,1903443,進階學術英文技巧（一）,3
大數據與資料科學學程,財金系,5152102,財務管理,3
大數據經濟分析學分學程,經濟學系,5101002,經濟學原理（二）,3
應用英外語學程,經濟學系,5102102,個體經濟學（二）,3
管理經濟學程,經濟學系,5102202,總體經濟學（二）,3
功能性基因體學程,經濟學系,5102401,管制經濟學,3
資通安全學程,經濟學系,5103105,生產經濟學,3
「戲劇‧創意‧想像」學分學程,經濟學系,5103160,產業經濟學,3
軟體工程學程,經濟學系,5103404,外人投資,3
人工智慧暨醫療管理與法律學分學程,財金系,5152101,財務管理（二）,3
數理經濟學程,企管系,5201002,管理學,3
國際政治經濟學程,企管系,5202013,管理資訊系統概論,3
財務經濟學程,企管系,5203056,管理時事英文選讀（二）,2
本土語言與文化實踐學分學程,勞工系,3201023,人力資源管理,3
大數據與資料科學學程,生醫系,2502007,分子生物學,4
大數據經濟分析學分學程,生醫系,2503101,幹細胞學,3
應用英外語學程,生醫系,2503107,專題研究實驗（二）,1
管理經濟學程,化暨生化系,2603711,材料化學導論,3
功能性基因體學程,資工系,4100003,計算機概論,3
資通安全學程,資工系,4102068,計算方法概論,3
「戲劇‧創意‧想像」學分學程,化工系,4253700,生物技術概論,3
軟體工程學程,生醫系,2502114,生物資訊概論,3
人工智慧暨醫療管理與法律學分學程,化工系,4253720,生醫材料,3
數理經濟學程,生醫系,2501008,生物統計導論,3
國際政治經濟學程,生醫系,2504109,專題研究實驗（四）,1
財務經濟學程,化暨生化系,2603902,專題研究(二),2
本土語言與文化實踐學分學程,化暨生化系,2604702,專題研究（四）,2
環境生物技術學程,資工系,4104800,專題實驗（一）,2
大數據與資料科學學程,工學院學士班,4014001,工程倫理,2
大數據經濟分析學分學程,資工系,4104048,網路安全概論,3
應用英外語學程,資工系,4104800,專題實驗（一）,2
管理經濟學程,資工系,4104801,專題實驗（二）,2
功能性基因體學程,電機系,4153251,通訊系統專題（一）,2
資通安全學程,電機系,4153307,網路技術與應用專題（一）,2
「戲劇‧創意‧想像」學分學程,通訊系,4303015,通訊系統專題（一）,2
軟體工程學程,通訊系,4303031,網路技術與應用專題（一）,2
人工智慧暨醫療管理與法律學分學程,通訊系,4304004,工程倫理,2
數理經濟學程,企管系,5203006,人文與企業倫理專題,3
國際政治經濟學程,會資所,5265100,風險管理與電腦稽核,3
財務經濟學程,資管系,5302205,企業資料通訊與網路,3
本土語言與文化實踐學分學程,資管所,5306206,資訊安全管理,3
環境生物技術學程,醫療資訊管理所,5555043,資訊安全管理,3
司法心理碩士學分學程,通識中心,7507009,資訊安全導論,2
大數據與資料科學學程,歷史系,1204612,中國藝術史（二）,2
大數據經濟分析學分學程,歷史系,1204682,台灣藝術史（二）,2
應用英外語學程,中文系,1101933,書道與日常應用,3
管理經濟學程,中文系,1102510,曲選及習作,3
功能性基因體學程,外文系,1154246,西方戲劇：易卜生,3
資通安全學程,傳播系,3352025,當代社會問題分析,3
「戲劇‧創意‧想像」學分學程,通識中心,7304029,表演與自我開發,2
軟體工程學程,傳播系,3351014,電影概論,3
人工智慧暨醫療管理與法律學分學程,通識中心,7304030,戲劇與人生,2
數理經濟學程,通識中心,7304019,藝術基礎理論與賞析,2
國際政治經濟學程,通識中心,7304020,當代藝術思潮,2
財務經濟學程,通識中心,7304033,藝術的故事,2
本土語言與文化實踐學分學程,文學院學士班,1011410,劇場管理與實務,3
環境生物技術學程,文學院學士班,1012404,民眾劇場,2
司法心理碩士學分學程,通識中心,7304035,藝術形式及表現手法,2
藝術文物學程,通識中心,7304003,聽覺藝術欣賞,2
「科技、傳播與社會」碩士學分學程,通識中心,7304007,西洋音樂史,2
諮商心理碩士級學分學程,通識中心,7304012,漫遊聲樂的世界,2
電子商務學程,歷史系,1204692,西洋藝術史（二）,2
全球治理學分學程,通識中心,7304034,當代藝術與設計,2
司法心理學士學分學程,中文系,1102044,篆刻藝術,2
程式設計學程,通識中心,7304024,版畫創作基礎,2
前瞻高齡跨域創新學分學程,成教系,3401016,創造力發展,3
長者人權門診跨域學分學程,中文系,1101847,臺灣戲劇選讀,3
奈米科技學程,中文所,1105917,地方體驗、敘事應用與數位化—地方知識與紀錄片製作,3
華語文教學學程,台文創應所,1405228,地方體驗、敘事應用與數位化—地方知識與紀錄片製作,3
大數據與資料科學學程,資工系,4102160,物件導向程式設計,3
大數據經濟分析學分學程,會資所,5265100,風險管理與電腦稽核,3
應用英外語學程,資工系,4103095,Java程式設計：企業與嵌入式系統,3
管理經濟學程,資管系,5303213,會計資訊系統,3
功能性基因體學程,資管系,5301216,程式設計,3
資通安全學程,電機系,4151008,程式設計,3
大數據與資料科學學程,財法系,6301009,民法總則（二）,2
大數據經濟分析學分學程,法制組,6201022,民法總則（二）,2
應用英外語學程,法學組,6101022,民法總則（二）,2
管理經濟學程,法制組,6201032,刑法總則（二）,3
功能性基因體學程,法學組,6101032,刑法總則（二）,3
資通安全學程,法制組,6202044,行政法總論（二）,2
「戲劇‧創意‧想像」學分學程,法學組,6102044,行政法總論（二）,2
軟體工程學程,資管所,5307147,醫療資料探勘實作,3
大數據與資料科學學程,數學系,2101011,線性代數（一）,3
大數據經濟分析學分學程,數學系,2101013,線性代數,3
應用英外語學程,數學系,2102002,高等微積分（二）,4
管理經濟學程,經濟學系,5101002,經濟學原理（二）,3
功能性基因體學程,經濟學系,5102302,統計學（二）,3
資通安全學程,經濟學系,5103308,高等統計學（二）,3
「戲劇‧創意‧想像」學分學程,經濟學系,5103312,計量經濟學（二）,3
軟體工程學程,數學系,2103701,統計科學,3
大數據與資料科學學程,政治系,3301030,政治學（二）,3
大數據經濟分析學分學程,政治系,3302060,國際關係（二）,3
應用英外語學程,經濟學系,5101002,經濟學原理（二）,3
管理經濟學程,經濟學系,5102102,個體經濟學（二）,3
功能性基因體學程,經濟學系,5102202,總體經濟學（二）,3
大數據與資料科學學程,財金所,5155660,財務報表分析,3
大數據經濟分析學分學程,財金系,5152102,財務管理,3
應用英外語學程,經濟學系,5101002,經濟學原理（二）,3
管理經濟學程,經濟學系,5102302,統計學（二）,3
功能性基因體學程,經濟學系,5103312,計量經濟學（二）,3
資通安全學程,財金系,5152101,財務管理（二）,3
「戲劇‧創意‧想像」學分學程,財金系,5152200,投資學,3
軟體工程學程,財金系,5153110,財務報表分析,3
人工智慧暨醫療管理與法律學分學程,財金系,5154180,國際財務管理,3
數理經濟學程,財金系,5154661,財務預測,3
國際政治經濟學程,勞工系,3202037,統計學,3
大數據與資料科學學程,中文所,1105917,地方體驗、敘事應用與數位化—地方知識與紀錄片製作,3
大數據經濟分析學分學程,台文創應所,1405228,地方體驗、敘事應用與數位化—地方知識與紀錄片製作,3
應用英外語學程,通識中心,7302042,鄒族的語言與文化,2
管理經濟學程,歷史系,1202232,台灣史（二）,3
功能性基因體學程,歷史系,1202632,台灣流行音樂史(二),3
資通安全學程,台文創應所,1405224,台語詩的創意與應用,3
「戲劇‧創意‧想像」學分學程,通識中心,7301051,台語文會話（一）,2
軟體工程學程,中文系,1103913,書寫、影像與編輯,3
人工智慧暨醫療管理與法律學分學程,台文創應所,1406170,文字、影像與策展專題,3
數理經濟學程,通識中心,7404019,認識智慧財產權,2
大數據與資料科學學程,地環系,2353006,環境化學,3
大數據經濟分析學分學程,生醫系,2501006,有機化學（一）,3
應用英外語學程,生醫系,2502007,分子生物學,4
管理經濟學程,生醫系,2503005,細胞生物學,4
功能性基因體學程,地環所,2365022,環境污染物傳輸,3
大數據與資料科學學程,犯防所,3457011,刑事訴訟法專題研究,3
大數據經濟分析學分學程,犯防所,3455051,家庭暴力與性侵害專題研究,3
應用英外語學程,犯防所,3455035,心理衡鑑專題研究,3
管理經濟學程,犯防所,3456061,性侵者與親密暴力者處遇專題研究,3
功能性基因體學程,犯防所,3456037,多元文化與華人諮商專題研究,3
資通安全學程,心理所,3155515,心理病理學研究,3
「戲劇‧創意‧想像」學分學程,臨床心理所,3655110,臨床神經心理學,3
軟體工程學程,臨床心理所,3655208,睡眠生理心理學與醫學（二）,3
大數據與資料科學學程,通識中心,7304020,當代藝術思潮,2
大數據經濟分析學分學程,通識中心,7304031,數位美學,2
應用英外語學程,文學院學士班,1013249,藝術賞析與創作技法表現,3
管理經濟學程,歷史系,1204612,中國藝術史（二）,2
功能性基因體學程,歷史系,1204682,台灣藝術史（二）,2
資通安全學程,通識中心,7304019,藝術基礎理論與賞析,2
「戲劇‧創意‧想像」學分學程,通識中心,7304024,版畫創作基礎,2
軟體工程學程,通識中心,7304033,藝術的故事,2
人工智慧暨醫療管理與法律學分學程,通識中心,7304034,當代藝術與設計,2
數理經濟學程,通識中心,7304035,藝術形式及表現手法,2
國際政治經濟學程,歷史系,1204969,古信仰與傳統觀念淵源,2
財務經濟學程,中文系,1101933,書道與日常應用,3
本土語言與文化實踐學分學程,文學院學士班,1013259,亞洲藝術史,2
環境生物技術學程,中文系,1102044,篆刻藝術,2
大數據與資料科學學程,電傳所,3355137,傳播政治經濟學,3
大數據與資料科學學程,認知科學博士學位學程,3169405,諮商心理專業實習(一),3
大數據與資料科學學程,通訊系,4301003,程式設計,3
大數據經濟分析學分學程,通訊系,4301006,程式設計實習,1
應用英外語學程,資管系,5303111,網路行銷,3
管理經濟學程,資管所,5306116,電子商務與應用,3
功能性基因體學程,資管所,5306206,資訊安全管理,3
資通安全學程,資管系,5303229,專案開發（一）,2
「戲劇‧創意‧想像」學分學程,資管系,5303233,專案開發(二),2
軟體工程學程,通識中心,7500016,永續發展,2
大數據與資料科學學程,政治所,3305310,國際關係理論,3
大數據經濟分析學分學程,政治所,3306640,亞洲區域主義,3
應用英外語學程,戰略所,3418020,兩岸關係專題,3
管理經濟學程,戰略所,3418022,國際事務時事導讀,3
大數據與資料科學學程,犯防系,3452025,刑法總則（二）,3
大數據經濟分析學分學程,犯防系,3453068,刑事政策,3
應用英外語學程,犯防系,3451018,社會學（二）,2
管理經濟學程,犯防系,3453014,少年事件處理法,2
功能性基因體學程,犯防系,3454030,刑事制裁,2
資通安全學程,犯防系,3453031,犯罪心理學,2
「戲劇‧創意‧想像」學分學程,犯防系,3454031,性別暴力,2
軟體工程學程,心理系,3153302,青少年發展,3
人工智慧暨醫療管理與法律學分學程,心理系,3152506,生理心理學（二）,2
數理經濟學程,心理系,3154502,睡眠管理,2
國際政治經濟學程,心理系,3152702,性格心理學,3
財務經濟學程,心理系,3152013,資料分析,3
大數據與資料科學學程,數學系,2101011,線性代數（一）,3
大數據經濟分析學分學程,資工系,4100003,計算機概論,3
應用英外語學程,資工系,4101032,程式設計（二）,3
管理經濟學程,資工系,4102068,計算方法概論,3
功能性基因體學程,資工系,4102085,離散數學,3
資通安全學程,資工系,4102160,物件導向程式設計,3
「戲劇‧創意‧想像」學分學程,資工系,4103095,Java程式設計：企業與嵌入式系統,3
軟體工程學程,資工系,4104061,資料庫系統,3
人工智慧暨醫療管理與法律學分學程,電機系,4151008,程式設計,3
數理經濟學程,電機系,4151011,線性代數,3
國際政治經濟學程,電機系,4153011,機率,3
財務經濟學程,機械系,4202053,視窗程式設計,3
本土語言與文化實踐學分學程,通訊系,4301001,線性代數,3
環境生物技術學程,通訊系,4301003,程式設計,3
司法心理碩士學分學程,通訊系,4302015,機率,3
藝術文物學程,經濟學系,5102302,統計學（二）,3
「科技、傳播與社會」碩士學分學程,財金系,5152021,統計學（二）,3
諮商心理碩士級學分學程,企管系,5202004,統計學（二）,3
電子商務學程,企管系,5202013,管理資訊系統概論,3
全球治理學分學程,資管系,5301213,離散數學,3
司法心理學士學分學程,資管系,5302202,資料庫管理,3
程式設計學程,資管系,5301216,程式設計,3
大數據與資料科學學程,心理系,3154502,睡眠管理,2
大數據經濟分析學分學程,心理系,3152702,性格心理學,3
應用英外語學程,勞工所,3206086,非典型勞動,3
管理經濟學程,資工所,4105597,醫療電子臨床導入,3
功能性基因體學程,勞工系,3201025,勞動市場與就業專題討論,3
大數據與資料科學學程,法制組,6203061,社會法總論,2
大數據經濟分析學分學程,通識中心,7400006,高齡社會的衝擊與因應,2
應用英外語學程,法制組,6204052,法律服務（二）,2
大數據與資料科學學程,文學院學士班,1012001,華人社會與文化,2
大數據經濟分析學分學程,文學院學士班,1011101,華語文教學導論,2
應用英外語學程,文學院學士班,1011117,華語語法教學設計,2
管理經濟學程,中文系,1102012,文字學（二）,2
大數據與資料科學學程,電機系,4152801,再生能源導論,3
大數據經濟分析學分學程,化暨生化系,2601102,普通化學（二）,3
應用英外語學程,化暨生化所,2605328,有機金屬化學,3
管理經濟學程,化暨生化系,2603302,無機化學（二）,3
功能性基因體學程,化暨生化所,2605507,光譜化學分析與化學計量學,3
資通安全學程,化暨生化系,2603711,材料化學導論,3
「戲劇‧創意‧想像」學分學程,地環系,2352026,環境工程(一),3
軟體工程學程,地環系,2353006,環境化學,3
人工智慧暨醫療管理與法律學分學程,地環系,2354007,環境規畫與管理,3
數理經濟學程,地環系,2351002,地球與環境科學概論（二）,3
國際政治經濟學程,化工系,4251020,化工質能均衡,3
財務經濟學程,化工系,4253940,觸媒化學概論,3
本土語言與文化實踐學分學程,化工所,4255570,工業觸媒,3
環境生物技術學程,化工系,4253700,生物技術概論,3
司法心理碩士學分學程,電機系,4153228,綠色能源專題（一）,2
藝術文物學程,電機系,4153308,能源與電力系統專題（一）,2
「科技、傳播與社會」碩士學分學程,電機系,4154022,電力系統,3
諮商心理碩士級學分學程,通識中心,7507014,綠色建築概論,2
電子商務學程,通識中心,7500010,永續綠生活,2
全球治理學分學程,通識中心,7500016,永續發展,2
司法心理學士學分學程,通識中心,7500015,環境倫理－從綠色產業談起,2
程式設計學程,通識中心,7500028,永續綠能新契機,2
前瞻高齡跨域創新學分學程,通識中心,7500023,氣候變遷下維生基礎調適,2
長者人權門診跨域學分學程,通識中心,7500017,氣候變遷調適與防災,2
奈米科技學程,通識中心,7500022,地景欣賞與保育,2
華語文教學學程,通識中心,7506007,地球與環境科學,2
循環科技與永續發展學分學程,通識中心,7500019,地球演化與資源,2
創意創新創造創業學分學程,通識中心,7304032,自然觀察與紀錄,2
人工智慧與電腦審計學程,通識中心,7507028,循環科技（一）,2
大數據與資料科學學程,成教系,3401016,創造力發展,3
大數據經濟分析學分學程,傳播系,3352031,廣告創意與製作,3
應用英外語學程,企管所,5205206,商業模式創新與管理,3
管理經濟學程,成教系,3404015,中高齡產業創新創業(二),3
功能性基因體學程,企管所,5205225,新創企業個案與實務研討,3
資通安全學程,企管系,5203059,績效管理,3
大數據與資料科學學程,會資系,5261102,初級會計學(二),3
大數據經濟分析學分學程,會資系,5261105,初級會計學（二）,3
應用英外語學程,財法系,6301024,初級會計學(二),3
管理經濟學程,資管系,5301216,程式設計,3
功能性基因體學程,資工系,4101032,程式設計（二）,3
資通安全學程,資工系,4102160,物件導向程式設計,3
「戲劇‧創意‧想像」學分學程,經濟學系,5101070,R語言應用與分析方法,3
軟體工程學程,電機系,4151008,程式設計,3
人工智慧暨醫療管理與法律學分學程,會資所,5265018,人工智慧導論,3
數理經濟學程,資管系,5303216,人工智慧與專家系統,3
國際政治經濟學程,資管系,5302202,資料庫管理,3
財務經濟學程,會資系,5262300,系統分析與設計,3
本土語言與文化實踐學分學程,會資系,5264004,會計資訊系統,3
環境生物技術學程,資管系,5303213,會計資訊系統,3
司法心理碩士學分學程,企管系,5202013,管理資訊系統概論,3
藝術文物學程,資管所,5306223,大數據的分析與應用,3
「科技、傳播與社會」碩士學分學程,財金系,5154353,金融科技導論,3
諮商心理碩士級學分學程,財金系,5154661,財務預測,3
電子商務學程,財金系,5154316,銀行管理與金融科技,3
全球治理學分學程,資工系,4104061,資料庫系統,3
司法心理學士學分學程,資管所,5307134,機器學習,3
程式設計學程,資工所,4105931,機器學習,3
前瞻高齡跨域創新學分學程,通訊系,4301003,程式設計,3
大數據與資料科學學程,政治所,3306401,公共政策專題研究,3
大數據經濟分析學分學程,社福所,3105087,社會救助,3
應用英外語學程,電傳所,3355137,傳播政治經濟學,3
大數據與資料科學學程,哲學系,1252306,語言哲學,3
大數據經濟分析學分學程,語言所,1305002,音韻學,3
應用英外語學程,心理系,3152101,人類學習與認知,3
管理經濟學程,通識中心,7401005,認知科學導論,3
大數據與資料科學學程,心理系,3152702,性格心理學,3
大數據經濟分析學分學程,心理系,3154502,睡眠管理,2
應用英外語學程,心理系,3152013,資料分析,3
管理經濟學程,心理系,3153751,組織行為學,3
功能性基因體學程,企管系,5202039,組織行為,3
資通安全學程,企管系,5201002,管理學,3
「戲劇‧創意‧想像」學分學程,成教系,3401016,創造力發展,3
軟體工程學程,成教系,3401029,人力資源發展,3
人工智慧暨醫療管理與法律學分學程,企管系,5203059,績效管理,3
數理經濟學程,勞工系,3203029,薪資福利管理,3
國際政治經濟學程,勞工系,3202030,勞工保險理論與實務,3
財務經濟學程,企管系,5203083,領導學,3
大數據與資料科學學程,生醫系,2501004,普通生物學（二）,3
大數據經濟分析學分學程,生醫系,2502007,分子生物學,4
應用英外語學程,生醫系,2503005,細胞生物學,4
管理經濟學程,生醫系,2503101,幹細胞學,3
功能性基因體學程,心理系,3152506,生理心理學（二）,2
資通安全學程,化工系,4253720,生醫材料,3
「戲劇‧創意‧想像」學分學程,化工系,4253910,高分子概論,3
大數據與資料科學學程,通識中心,7404031,人權與法律,2
大數據經濟分析學分學程,政治系,3303002,發現東南亞,2
應用英外語學程,政治系,3304334,全球環境治理：重大環境議題分析,2
管理經濟學程,認知科學博士學位學程,3167102,視覺科學導論,3
功能性基因體學程,勞工系,3201027,勞工關係實用英語,3
資通安全學程,通識中心,7404030,規範、文化、辯證,2
大數據與資料科學學程,政治所,3305011,抽樣理論與問卷設計,3
大數據經濟分析學分學程,政治所,3305004,抽樣調查實務(一),3
應用英外語學程,電傳所,3355020,消費者行為調查,3
管理經濟學程,電傳所,3355137,傳播政治經濟學,3
大數據與資料科學學程,化暨生化所,2605328,有機金屬化學,3
大數據經濟分析學分學程,分子生物所,2458001,分子生物學書報討論（五）,1
應用英外語學程,物理所,2205958,專題：奈米光電,3
管理經濟學程,理學院碩士班,2015008,高等孢粉與環境,3
功能性基因體學程,理學院碩士班,2015009,高等環境土壤學,3
大數據與資料科學學程,財金系,5154353,金融科技導論,3
大數據經濟分析學分學程,財金系,5152200,投資學,3
應用英外語學程,財金系,5154316,銀行管理與金融科技,3
管理經濟學程,財金系,5153002,財務程式設計,3
功能性基因體學程,財金系,5154661,財務預測,3
資通安全學程,通訊系,4301003,程式設計,3
「戲劇‧創意‧想像」學分學程,資工系,4104061,資料庫系統,3
軟體工程學程,會資系,5264004,會計資訊系統,3
人工智慧暨醫療管理與法律學分學程,資管系,5303216,人工智慧與專家系統,3
數理經濟學程,資管所,5306206,資訊安全管理,3
國際政治經濟學程,資工系,4101032,程式設計（二）,3
財務經濟學程,資管系,5302202,資料庫管理,3
本土語言與文化實踐學分學程,數學系,2103701,統計科學,3
環境生物技術學程,企管系,5202013,管理資訊系統概論,3
大數據與資料科學學程,犯防系,3451018,社會學（二）,2
大數據經濟分析學分學程,犯防系,3451019,心理學（二）,2
應用英外語學程,犯防系,3452025,刑法總則（二）,3
管理經濟學程,犯防系,3454027,矯正諮商,2
功能性基因體學程,社福系,3102164,精神與智能障礙者的社區照顧,3
大數據與資料科學學程,勞工系,3203059,國際遷移與勞動人權,3
大數據經濟分析學分學程,政治系,3303002,發現東南亞,2
應用英外語學程,通識中心,7301050,中級印尼語,2
大數據與資料科學學程,財法所,6305005,法學英文(四)-刑事訴訟法,2
大數據經濟分析學分學程,財法所,6305023,法學英文(五)- 法律寫作導論,2
應用英外語學程,財法所,6306106,國際貿易法專題研究（二）,2
管理經濟學程,財法所,6306514,國際經濟法專題研究（二）,2
功能性基因體學程,法學組,6103090,國際環境法,2
資通安全學程,法律所,6055441,國際環境法專題研究（二）,2
「戲劇‧創意‧想像」學分學程,財法所,6305026,臺灣法專題研究(四),2
軟體工程學程,法律所,6055352,法學英文（二）,2
大數據與資料科學學程,社福所,3105067,社會福利理論,3
大數據經濟分析學分學程,社福所,3105087,社會救助,3
